EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,Address,geocoded
1355 300th St ,,Hendricks,MN,56136,1355 300th St  Hendricks MN 56136,"(44.485822, -96.392797)"
5606 57th St NE,440 6th Ave SE  Leeds ND 58346,Leeds,ND,58346,5606 57th St NE Leeds ND 58346,"(48.2381289, -99.40693069999999)"
25408 398th Ave,,Mount Vernon ,SD,57363,25408 398th Ave Mount Vernon  SD 57363,"(43.701706, -98.2448625)"
16618 290th Street,,Elkader,IA,52043,16618 290th Street Elkader IA 52043,"(42.8045401, -91.4820609)"
788 31st Ave NW,,Coleharbor,ND,58531,788 31st Ave NW Coleharbor ND 58531,"(47.52862289999999, -101.2051989)"
1320 Oro Trail Road,,Crowley,LA,70526,1320 Oro Trail Road Crowley LA 70526,"(30.2470117, -92.40135769999999)"
5133 South Florence Avenue,,Port Allen,LA,70767,5133 South Florence Avenue Port Allen LA 70767,"(30.3955773, -91.2309298)"
3150 Monceaux Road,,Crowley,LA,70526,3150 Monceaux Road Crowley LA 70526,"(30.1904168, -92.2938614)"
40920 106th Street,,Hecla,SD,57446,40920 106th Street Hecla SD 57446,"(45.853232, -98.035938)"
34175 205th Street,,Highmore,SD,57345,34175 205th Street Highmore SD 57345,"(44.415595, -99.34602600000001)"
2798 NW Buck Creek Rd.,P.O. Box 2903,Arcadia,FL,34266,2798 NW Buck Creek Rd. Arcadia FL 34266,"(27.284784, -81.8880097)"
74 Blatchford Road,,Terry,MT,59349,74 Blatchford Road Terry MT 59349,"(46.6993547, -105.4444832)"
376 E 400 S #309,"PO Box 58627, Salt Lake City UT 84158 (Mailing Address)",Salt Lake City,UT,84111,376 E 400 S #309 Salt Lake City UT 84111,"(40.7603097, -111.8806103)"
1225 B Main Street,,Southaven,MS,38671,1225 B Main Street Southaven MS 38671,"(34.9905912, -90.0120219)"
525 N. Main,"PO Box 65, Kamas UT 84036 (Mailing Address)",Kamas,UT,84036,525 N. Main Kamas UT 84036,"(40.653041, -111.281889)"
724 Johnson Ranch Lane,"724 Johnson Ranch Lane, Conrad MT 59425 (Mailing Address)",Conrad,MT,59425,724 Johnson Ranch Lane Conrad MT 59425,"(48.3580635, -111.8575284)"
609 5th Avenue West,,Rock Springs,WY,82901,609 5th Avenue West Rock Springs WY 82901,"(41.573177, -109.2307936)"
2955 County Road 30,,Stratton,CO,80836,2955 County Road 30 Stratton CO 80836,"(39.0686157, -102.6135842)"
3932 Moores Lake Road,,Dover,FL,33527,3932 Moores Lake Road Dover FL 33527,"(28.0081711, -82.2245198)"
1244 Golden Grain Road,"(Mailing: PO Box 82205, Lafayette, LA 70598)",Duson,LA,70529,1244 Golden Grain Road Duson LA 70529,"(30.1609795, -92.18119899999999)"
8712 County Rd. 5,"8712 County Rd. 5, Rifle CO 81650 (Mailing Address)",Meeker,CO,81641,8712 County Rd. 5 Meeker CO 81641,"(39.7990339, -108.0461234)"
26102 Tenant Road,,PLAQUEMINE,LA,70764,26102 Tenant Road PLAQUEMINE LA 70764,"(30.2498087, -91.2395897)"
20055 Hwy. 26,,Jennings,LA,70546,20055 Hwy. 26 Jennings LA 70546,"(30.22242839999999, -92.657085)"
111 5th Ave,,Rochelle ,IL,61068,111 5th Ave Rochelle  IL 61068,"(41.924425, -89.06013399999999)"
11363 94th St SE ,,Oakes ,ND,58474,11363 94th St SE  Oakes  ND 58474,"(46.0554879, -98.01293)"
708 State Hwy T,"PO Box 72 Portageville, MO 63873",Portageville,MO,63873,708 State Hwy T Portageville MO 63873,"(36.3936658, -89.6726939)"
2259 Kings Highway ,,King George ,VA,22485,2259 Kings Highway  King George  VA 22485,"(38.2499413, -77.3061972)"
172 Herring Road,,Lake Park,GA,31636,172 Herring Road Lake Park GA 31636,"(30.6959948, -83.1338579)"
5389 NW Lily Avenue,,Arcadia,FL,34266,5389 NW Lily Avenue Arcadia FL 34266,"(27.3234758, -81.982333)"
809 Leger Road,,Rayne,LA,70578,809 Leger Road Rayne LA 70578,"(30.2070964, -92.2299414)"
23592 SD Hwy 65,PO Box 24 Isabel SD 57633,Isabel,SD,57633,23592 SD Hwy 65 Isabel SD 57633,"(45.6195039, -101.3902961)"
1025 Dearing St. ,PO Box 2183,Lake Placid,FL,33852,1025 Dearing St.  Lake Placid FL 33852,"(27.329922, -81.33119599999999)"
8079 Van Zyverden Rd,,Meridian ,MS,39305,8079 Van Zyverden Rd Meridian  MS 39305,"(32.459488, -88.652587)"
P.O. Box 1326,1803 Warfield Place,Sebring,FL,33870,P.O. Box 1326 Sebring FL 33870,"(27.5059582, -81.3949264)"
166 Boiling Springs Rd. ,,Barnwell,SC,29812,166 Boiling Springs Rd.  Barnwell SC 29812,"(33.1255472, -81.34507649999999)"
109 Elizabeth Dr,,Aberdeen,SD,57401,109 Elizabeth Dr Aberdeen SD 57401,"(45.442093, -98.48875900000002)"
456 McCoy Rd.,"P.O. Box 947 Lake Placid, FL. 33862",Sebring,FL,33875,456 McCoy Rd. Sebring FL 33875,"(27.3630525, -81.474841)"
1200 Cedar Pass Rd.,,Driftwood,TX,78619,1200 Cedar Pass Rd. Driftwood TX 78619,"(30.1545498, -98.034309)"
3500 Shinn Road,,Ft Pierce,FL,34945,3500 Shinn Road Ft Pierce FL 34945,"(27.4021432, -80.47052219999999)"
51051 US Highway 20 ,,Oberlin,OH,44074,51051 US Highway 20  Oberlin OH 44074,"(41.2570368, -82.311595)"
2706 South Fieldspan,,Duson,LA,70529,2706 South Fieldspan Duson LA 70529,"(30.1664517, -92.1429314)"
3232 Crowley Rayne Highway,,Rayne,LA,70578,3232 Crowley Rayne Highway Rayne LA 70578,"(30.2323956, -92.30955)"
25586 Johnson Way,,Belle Plaine,MN,56011,25586 Johnson Way Belle Plaine MN 56011,"(44.5798419, -93.8433446)"
17191 State Hwy 65,,McGrath,MN,56350,17191 State Hwy 65 McGrath MN 56350,"(46.262761, -93.2642539)"
5095 SE CR 760,,Arcadia,FL,34266,5095 SE CR 760 Arcadia FL 34266,"(27.183054, -81.791724)"
42273 SD Hwy 50,,Tabor,SD,57063,42273 SD Hwy 50 Tabor SD 57063,"(42.9628354, -97.73884550000001)"
30096 185th St,,Onida,SD,57564,30096 185th St Onida SD 57564,"(44.707924, -100.141855)"
436 E 1150 S,,BLISS,ID,83314,436 E 1150 S BLISS ID 83314,"(43.0330187, -114.9716244)"
6450 Manhead Road,"PO Box 128, Randolph UT 84064 (Mailing Address)",Randolph,UT,84064,6450 Manhead Road Randolph UT 84064,"(41.7880068, -111.1038142)"
285 Road 561,,Powderville,MT,59345,285 Road 561 Powderville MT 59345,"(45.8707247, -105.2310597)"
19571 Hwy 33 S,,19571 Hwy 33 S,AR,72006,19571 Hwy 33 S 19571 Hwy 33 S AR 72006,
1386 US Hwy 1 South,,Alma,GA,31510,1386 US Hwy 1 South Alma GA 31510,"(31.5074944, -82.45725089999999)"
1001 Dougherty Ct,"1001 Dougherty Ct, Grand Junction CO 81505 (Mailing Address)",Grand Junction,CO,81505,1001 Dougherty Ct Grand Junction CO 81505,"(39.1502104, -108.6368145)"
25923 Rd A,,Moscow,KS,67952,25923 Rd A Moscow KS 67952,"(37.3578649, -101.067181)"
1225 B Main St.,,Southaven,MS,38671,1225 B Main St. Southaven MS 38671,"(34.9905912, -90.0120219)"
315 E. New Market Road,,Immokalee,FL,34142,315 E. New Market Road Immokalee FL 34142,"(26.429398, -81.4201933)"
2642 McCourtney Road,"PO Box 315, Sheridan CA 95681 (Mailing Address)",Lincoln,CA,95648,2642 McCourtney Road Lincoln CA 95648,"(38.9211669, -121.2742378)"
11200 Los Amigos Rd.,,Healdsburg,CA,95448,11200 Los Amigos Rd. Healdsburg CA 95448,"(38.5753045, -122.8339457)"
4180 Sage Creek Road Note: No Mail Delivery,PO Box 240086,Dell,MT,59724,4180 Sage Creek Road Note: No Mail Delivery Dell MT 59724,"(44.7397058, -112.632178)"
3234 Tribbett Rd,,Leland,MS,38756,3234 Tribbett Rd Leland MS 38756,"(33.3723909, -90.81033839999999)"
112 N Lakeview Drive,,Napoleon,ND,58428,112 N Lakeview Drive Napoleon ND 58428,"(46.8280001, -99.74412269999999)"
5690 67th Ave NW,,Plaza,ND,58771,5690 67th Ave NW Plaza ND 58771,"(48.2399006, -102.0656637)"
48188 221 St,,Elkton,SD,57026,48188 221 St Elkton SD 57026,"(44.18760200000001, -96.5741027)"
652 Airport Road,,Wauchula,FL,33873,652 Airport Road Wauchula FL 33873,"(27.5653253, -81.77372489999999)"
"110 Foxstar Ave, NW",PO Box3231,Lake Placid ,FL,33852,"110 Foxstar Ave, NW Lake Placid  FL 33852","(27.247257, -81.40415829999999)"
8079 Van Zyverden Rd ,,Meridian ,MS,39305,8079 Van Zyverden Rd  Meridian  MS 39305,"(32.459488, -88.652587)"
3584 Bucklin Road,,Jennings,LA,70546,3584 Bucklin Road Jennings LA 70546,"(30.3795447, -92.6690591)"
1217 Wright Avenue,,Crowley,LA,70526,1217 Wright Avenue Crowley LA 70526,"(30.2246713, -92.36482)"
69116 Hwy 64,"P.O.Box 804, Meeker CO 81641 (Mailing Address)",Meeker,CO,81641,69116 Hwy 64 Meeker CO 81641,"(40.03747329999999, -107.9131299)"
HC 37 Box 4250,,Scobey,MT,59263,HC 37 Box 4250 Scobey MT 59263,"(48.7925242, -105.4208268)"
3125 N. FM 140,,Batesville,TX,78829,3125 N. FM 140 Batesville TX 78829,"(29.0610072, -99.49451270000002)"
PO Box 1399,1100 N. Broad Street,Guthrie,OK,73044,PO Box 1399 Guthrie OK 73044,"(35.9052051, -97.394882)"
504 Roberts Rd,"PO Box 277, Winchester ID 83555 (Mailing Address)",Winchester,ID,83555,504 Roberts Rd Winchester ID 83555,"(46.2649006, -116.641219)"
37121 Veterans Memorial Drive,,Gueydan,LA,70542,37121 Veterans Memorial Drive Gueydan LA 70542,"(30.0212488, -92.6010285)"
351 School Street # 1,,Craig,CO,81625,351 School Street # 1 Craig CO 81625,"(40.5115243, -107.5493595)"
705 AMESBURY DRIVE,,DIXON,CA,95620,705 AMESBURY DRIVE DIXON CA 95620,"(38.4538277, -121.8311068)"
7015 North 6800 West,,Tremonton,UT,84337,7015 North 6800 West Tremonton UT 84337,"(41.63470299999999, -112.1789526)"
811 S FM 2023,,FT. Stockton,TX,79735,811 S FM 2023 FT. Stockton TX 79735,"(30.8940431, -102.8793222)"
31712 Haigler Rd,,Haigler,NE,69030,31712 Haigler Rd Haigler NE 69030,"(40.1035527, -101.9257324)"
102 Minorca St. NE,PO Box 2994,Lake Placid,FL,33852,102 Minorca St. NE Lake Placid FL 33852,"(27.2388399, -81.3977176)"
8524 E FM 917,,Alvarado,TX,76009,8524 E FM 917 Alvarado TX 76009,"(32.4724215, -97.2254907)"
4500 Hwy 90 E,,New Iberia,LA,70560,4500 Hwy 90 E New Iberia LA 70560,"(29.94755469999999, -91.7893766)"
Fm 293 County Road C,PO Box 421 Panhandle TX 79068,Panhandle,TX,79068,Fm 293 County Road C Panhandle TX 79068,"(35.2073573, -101.3823987)"
11306 Hwy 411 South ,,Chatsworth,GA,30705,11306 Hwy 411 South  Chatsworth GA 30705,"(34.6172352, -84.71020759999999)"
12663 10th Street SE,,Hope,ND,58046,12663 10th Street SE Hope ND 58046,"(47.2687387, -97.67886)"
181 Ragusa Road,,Independence,LA,70443,181 Ragusa Road Independence LA 70443,"(30.6317232, -90.491309)"
154 Bordeaux,,Monticello,AR,71655,154 Bordeaux Monticello AR 71655,"(33.6321258, -91.69724889999999)"
1808 E 20280 N,"PO Box 815, Moroni UT 84646 (Mailing Address)",Moroni,UT,84646,1808 E 20280 N Moroni UT 84646,"(39.5249615, -111.5904725)"
395 Gooding Street,,Conklin,MI,49403,395 Gooding Street Conklin MI 49403,"(43.1621213, -85.7991353)"
890 Hicks Pike,,Cynthiana,KY,41031,890 Hicks Pike Cynthiana KY 41031,"(38.327315, -84.383729)"
4387 Hodgenville Rd,,Greensville,KY,42743,4387 Hodgenville Rd Greensville KY 42743,"(37.326769, -85.54444500000001)"
1025 Selway Drive,,Dillon,MT,59725,1025 Selway Drive Dillon MT 59725,"(45.23037000000001, -112.6280299)"
P O Box 42,608 Carvell Street ,Max,ND,58759,P O Box 42 Max ND 58759,"(47.8211141, -101.2987702)"
20404 Rostrom Road,,Welsh,LA,70591,20404 Rostrom Road Welsh LA 70591,"(30.3272703, -92.87768109999999)"
1830 Shiloh Chuurch rd,,Newton,MS,39345,1830 Shiloh Chuurch rd Newton MS 39345,"(32.3527595, -89.1179768)"
705 Roosevelt Blvd.,,Lake Placid,FL,33852,705 Roosevelt Blvd. Lake Placid FL 33852,"(27.3514082, -81.3354518)"
22701 County Rd 320,,Clarkton,MO,63837,22701 County Rd 320 Clarkton MO 63837,"(36.4483343, -89.9829298)"
500 Sunflower Dr,P.O. Box 51,Elgin,ND,58533,500 Sunflower Dr Elgin ND 58533,"(46.4066171, -101.8383795)"
526 W 12th Street,"31152 300th Street Winner, SD 57580",Winner ,SD,57580,526 W 12th Street Winner  SD 57580,"(43.367515, -99.86355599999999)"
57840 W 17913 N,"57840 W 17913 N, Park Valley UT 84329 (Mailing Address)",Park Valley,UT,84329,57840 W 17913 N Park Valley UT 84329,"(41.8207029, -113.4225745)"
10280 Lark Trail,,Salado,TX,76571,10280 Lark Trail Salado TX 76571,"(30.9732304, -97.534667)"
2366 FM 935,,Chilton,TX,76632,2366 FM 935 Chilton TX 76632,"(31.2200826, -97.1049932)"
5818 Sievers Road,"PO Box 807, Dixon CA 95620 (Mailing Address)",Dixon,CA,95620,5818 Sievers Road Dixon CA 95620,"(38.480449, -121.873037)"
6430 Bright Bay Court,"mailing: P. O. Box 217, Elkton, FL 32033",Apollo Beach,FL,33572,6430 Bright Bay Court Apollo Beach FL 33572,"(27.7838337, -82.42726379999999)"
2253 Brusett Rd. ,,Brusett,MT,59318,2253 Brusett Rd.  Brusett MT 59318,"(47.426119, -107.3304159)"
1041 Vallejo St,"1041 Vallejo St, Santa Rosa CA 95404 (Mailing Address)",Santa Rosa,CA,95404,1041 Vallejo St Santa Rosa CA 95404,"(38.4372429, -122.703291)"
2297 Coolidge Ave ,,Inwood,IA,51240,2297 Coolidge Ave  Inwood IA 51240,"(43.3169555, -96.39122479999999)"
4926 Woodbine Road,,Woodbine,MD,21797,4926 Woodbine Road Woodbine MD 21797,"(39.4383173, -77.0549703)"
3745 NORTH 600 EAST,,BUHL,ID,83316,3745 NORTH 600 EAST BUHL ID 83316,"(42.5419695, -114.9285468)"
3890 LANE 50,,MANDERSON,WY,82432,3890 LANE 50 MANDERSON WY 82432,"(44.264227, -107.8073014)"
21763 French Prairie Rd NE,,St Paul,OR,97137,21763 French Prairie Rd NE St Paul OR 97137,"(45.2358983, -122.9093532)"
13 BRONCO RD,,REIDSVILLE,GA,30453,13 BRONCO RD REIDSVILLE GA 30453,"(32.0391837, -82.1233544)"
1410 Sligo Rd,,Bossier City,LA,71112,1410 Sligo Rd Bossier City LA 71112,"(32.4451185, -93.60723759999999)"
5586 E. 900 S,,Keystone,IN,46759,5586 E. 900 S Keystone IN 46759,"(40.6109195, -85.1150112)"
8917 SMITHVILLE HWY,,MCMINNVILLE,TN,37110,8917 SMITHVILLE HWY MCMINNVILLE TN 37110,"(35.8086001, -85.7936115)"
1885 Trammel Rd,,Scottsville,KY,42164,1885 Trammel Rd Scottsville KY 42164,"(36.778442, -86.34137)"
3430 36th Street,,Mandan,ND,58554,3430 36th Street Mandan ND 58554,"(46.893417, -101.187932)"
1948 Lower Tuskeegee Rd,,Robbinsville,NC,28771,1948 Lower Tuskeegee Rd Robbinsville NC 28771,"(35.4171924, -83.6931961)"
2756 330th St.,,Rock Valley,IA,51247,2756 330th St. Rock Valley IA 51247,"(43.1714229, -96.24286310000001)"
1240 Old Bradenton Road,,Wauchula,FL,33873,1240 Old Bradenton Road Wauchula FL 33873,"(27.5774276, -81.8314572)"
319 N Elm St,,Hebron,ND,58638,319 N Elm St Hebron ND 58638,"(46.90573870000001, -102.0433854)"
1378 CR 4620,,Cooper,TX,75432,1378 CR 4620 Cooper TX 75432,"(33.4466257, -95.5879138)"
20918 W Pretty Prairie Rd,,Arlington,KS,67514,20918 W Pretty Prairie Rd Arlington KS 67514,"(37.7783006, -98.23464969999999)"
7172 Church Point Highway,,Branch,LA,70516,7172 Church Point Highway Branch LA 70516,"(30.3561343, -92.2646934)"
7948 55th Street NW,"7940 55th Street NW, Stanley, ND 58784",Stanley,ND,58784,7948 55th Street NW Stanley ND 58784,"(48.2125601, -102.3423028)"
12670 County Road 352,,Sidney,MT,59270,12670 County Road 352 Sidney MT 59270,"(47.7431507, -104.1187579)"
4690 County Road 2,,Sherwood,ND,58782,4690 County Road 2 Sherwood ND 58782,"(48.9649437, -101.7367913)"
15337 Hwy 70,,Brinkley,AR,72021,15337 Hwy 70 Brinkley AR 72021,"(34.9010226, -91.14589149999999)"
136 Hesser Levee Rd,,Gillett,AR,72055,136 Hesser Levee Rd Gillett AR 72055,"(34.1607012, -91.3085002)"
1458 West High St.,,Dickinson,ND,58601,1458 West High St. Dickinson ND 58601,"(46.8937628, -102.8067558)"
1920 12th St NE,,Goodrich,ND,58444,1920 12th St NE Goodrich ND 58444,"(47.5874454, -100.1377513)"
7945 104th St NW,,Flaxton,ND,58737,7945 104th St NW Flaxton ND 58737,"(48.9244782, -102.4460736)"
13920 County Road 1,,Hoople,ND,58243,13920 County Road 1 Hoople ND 58243,"(48.5423152, -97.6424524)"
P.O. Box 23,101 North 5th St.,Vega,TX,79092,P.O. Box 23 Vega TX 79092,"(35.2428319, -102.4282607)"
16054 S Dupont Highway,"330721 County Road E, Minatare, NE  69356",Harrington,DE,19952,16054 S Dupont Highway Harrington DE 19952,"(38.9403487, -75.5666062)"
4813 CALLOWAY DRIVE,,BAKERSFIELD,CA,93312,4813 CALLOWAY DRIVE BAKERSFIELD CA 93312,"(35.4040213, -119.1120303)"
6532 Hwy 42,,Earle,AR,72331,6532 Hwy 42 Earle AR 72331,"(35.3763092, -90.5082295)"
9453 N US HWY 27,,Ocala,FL,34482,9453 N US HWY 27 Ocala FL 34482,"(29.240428, -82.274019)"
15521 Almstead,,Hudson,CO,80642,15521 Almstead Hudson CO 80642,"(39.976173, -104.5690096)"
33 Skyline Rd,,Medicine Lake,MT,59247,33 Skyline Rd Medicine Lake MT 59247,"(48.5633985, -104.3757868)"
701 East Prospect Road,PO Box 520 Lexington NE 68850,Lexington,NE,68850,701 East Prospect Road Lexington NE 68850,"(40.7584504, -99.73175889999999)"
304 Edgewood Circle,PO Box 1008 Tallulah LA 71284-1008,Madison,MS,39110,304 Edgewood Circle Madison MS 39110,"(32.5212932, -90.16958079999999)"
19 Richard Dr.,P.O. Box 2997,Lake Placid ,FL,33852,19 Richard Dr. Lake Placid  FL 33852,"(27.2852508, -81.3643429)"
1010 West Main Street,,Mount Joy,PA,17552,1010 West Main Street Mount Joy PA 17552,"(40.1158875, -76.5277783)"
7513 High Mesa Road,,Olathe,CO,81425,7513 High Mesa Road Olathe CO 81425,"(38.5856596, -108.0045059)"
210 Zumbro Rd,,Cleveland,MS,38732,210 Zumbro Rd Cleveland MS 38732,"(33.7872678, -90.6685595)"
10221 Schultz Road,,Branch,LA,70516,10221 Schultz Road Branch LA 70516,"(30.3489289, -92.3638934)"
1700 County Road 122,,Midkiff,TX,79755,1700 County Road 122 Midkiff TX 79755,"(31.6325555, -101.9705396)"
730 Walnut Rd,,Sardis,MS,38666,730 Walnut Rd Sardis MS 38666,"(34.4616034, -89.9097146)"
9150 Road 104,,Bridgeport,NE,69336,9150 Road 104 Bridgeport NE 69336,"(41.7444149, -103.1671411)"
6200 Highway 585,,Oak Grove,LA,71263,6200 Highway 585 Oak Grove LA 71263,"(32.7893611, -91.5613747)"
501 CR 165,,MART,TX,76664,501 CR 165 MART TX 76664,"(31.4721016, -96.7928779)"
7933 19th Avenue N,,Newburg,ND,58762,7933 19th Avenue N Newburg ND 58762,"(48.5717674, -100.9948631)"
P.O. Box 259,"1646 Springtime Rd, Rapalje, MT  59067",Mer Rouge,LA,71261,P.O. Box 259 Mer Rouge LA 71261,"(32.7751347, -91.7926255)"
514 H St.,PO Box 452 Burwell NE 68823,Burwell,NE,68823,514 H St. Burwell NE 68823,"(41.7804105, -99.1310663)"
728 134th St SW  Suite 103,,Everett,WA,98204,728 134th St SW  Suite 103 Everett WA 98204,"(47.8762112, -122.2430818)"
13569 Mississippi Trail,"13955 Mississippi Trail, Hastings, MN 55033",Hastings,MN,55033,13569 Mississippi Trail Hastings MN 55033,"(44.753739, -92.929791)"
15790 Fenton Highway,,Welsh,LA,70591,15790 Fenton Highway Welsh LA 70591,"(30.3578606, -92.8599959)"
19575  382nd Avenue,,Wessington,SD,57381,19575  382nd Avenue Wessington SD 57381,"(44.5523246, -98.58521569999999)"
246060 E. 960 Rd,,Hydro,OK,73048,246060 E. 960 Rd Hydro OK 73048,"(35.6252901, -98.6135043)"
201 Riverside Drive,,Lake Providence,LA,71254,201 Riverside Drive Lake Providence LA 71254,"(32.8029032, -91.1695543)"
441 Penland,"P.O. Box 142, Baggs WY 82321 (Mailing Address)",Baggs,WY,82321,441 Penland Baggs WY 82321,"(41.0444124, -107.6551614)"
603 Lane 7,"603 Lane 7, Powell WY 82435 (Mailing Address)",Powell,WY,82435,603 Lane 7 Powell WY 82435,"(44.784388, -108.70402)"
1550 W Road 70,,Scott City,KS,67871,1550 W Road 70 Scott City KS 67871,"(38.3748574, -100.9321559)"
424 E. New Market Road,Unit 5,Immokalee,FL,34142,424 E. New Market Road Immokalee FL 34142,"(26.4287556, -81.418236)"
1740 110th St,,Richland,IA,52585,1740 110th St Richland IA 52585,"(41.1488366, -92.03478129999999)"
1004 Virginia Circle ,,Big Lake ,TX,76932,1004 Virginia Circle  Big Lake  TX 76932,"(31.1989237, -101.4526144)"
14516 Road 88,,Lisco,NE,69148,14516 Road 88 Lisco NE 69148,"(41.6316023, -102.6538061)"
217 Teddy Street,,Crowley,LA,70526,217 Teddy Street Crowley LA 70526,"(30.248, -92.38138699999999)"
98 34th Ave ,,Chaseley,ND,58423,98 34th Ave  Chaseley ND 58423,"(47.3997554, -99.81992269999999)"
12736 Rue Francois,,Abbeville,LA,70510,12736 Rue Francois Abbeville LA 70510,"(29.8802809, -92.1860126)"
3258 Koll Road ,,Jennings ,LA,70546,3258 Koll Road  Jennings  LA 70546,"(30.2902445, -92.6633544)"
240 South Bridge Street,,Labelle,FL,33935,240 South Bridge Street Labelle FL 33935,"(26.7583908, -81.4377485)"
2240 69th Ave NW,,Parshall,ND,58770,2240 69th Ave NW Parshall ND 58770,"(47.73828349999999, -102.0636098)"
3053 HWY 14-16 East,"3053 Hwy 14-16 East, Clearmont WY 82835 (Mailing Address)",Clearmont,WY,82835,3053 HWY 14-16 East Clearmont WY 82835,"(44.5789154, -106.4929697)"
20401 394th Street NW,,Donnybrook,ND,58734,20401 394th Street NW Donnybrook ND 58734,"(48.4448328, -101.9088092)"
106 W Front St,,Groom,TX,79039,106 W Front St Groom TX 79039,"(35.2010846, -101.1089725)"
408 W. 10th St,"55  4th St E, Westhope, Bottineau County, ND 58793",Bottineau,ND,58318,408 W. 10th St Bottineau ND 58318,"(48.821984, -100.4538614)"
330 W Sugarland Hwy,Suite 5,Clewiston,FL,33440,330 W Sugarland Hwy Clewiston FL 33440,"(26.7537912, -80.9373731)"
1183 Bezner Lane,,Taxline,TX,79087,1183 Bezner Lane Taxline TX 79087,"(36.2423449, -102.8531514)"
3289 State Road 29 S,,LaBelle,FL,33935,3289 State Road 29 S LaBelle FL 33935,"(26.714493, -81.4370618)"
1402 Stakes Road,,Crowley,LA,70526,1402 Stakes Road Crowley LA 70526,"(30.2813515, -92.41498519999999)"
110 Bonners Hill Road,,York Springs,PA,17372,110 Bonners Hill Road York Springs PA 17372,"(40.0193472, -77.0954319)"
300 WEST 250 NORTH,,PAUL,ID,83347,300 WEST 250 NORTH PAUL ID 83347,"(42.6079646, -113.7833506)"
255 State Hwy 43,,Adams,NE,68301,255 State Hwy 43 Adams NE 68301,"(40.5223065, -96.5026852)"
41150 County Road G,"41150 County Road G, Center CO 81132 (Mailing Address)",Del Norte,CO,81132,41150 County Road G Del Norte CO 81132,"(37.8392499, -106.2534877)"
795 S West Roundvalley Dr.,"PO Box 67, Laketown UT 84038 (Mailing Address)",Laketown,UT,84038,795 S West Roundvalley Dr. Laketown UT 84038,"(41.8254547, -111.330348)"
1005 Emison Ave,,Nyssa,OR,97913,1005 Emison Ave Nyssa OR 97913,"(43.8792767, -117.0054921)"
1463 S Belknap,,Mexia,TX,76667,1463 S Belknap Mexia TX 76667,"(31.663297, -96.48572399999999)"
1331 COMMERCE DR.,,LABELLE,FL,33935,1331 COMMERCE DR. LABELLE FL 33935,"(26.7421446, -81.4233055)"
3270 86th Ave SE,,Jamestown,ND,58401,3270 86th Ave SE Jamestown ND 58401,"(46.9397364, -98.6476655)"
6200 South Bay Road,,Cicero,NY,13039,6200 South Bay Road Cicero NY 13039,"(43.1655508, -76.09137849999999)"
14856 Ludlow Road,,Ralph,SD,57650,14856 Ludlow Road Ralph SD 57650,"(45.84182, -103.056115)"
586 Southwest 50th Avenue,,St. John,KS,67576,586 Southwest 50th Avenue St. John KS 67576,"(37.8735167, -98.8391959)"
3602 Colonial Court,,Ft. Myers,FL,33913,3602 Colonial Court Ft. Myers FL 33913,"(26.6121553, -81.7993178)"
6275 STREET RT 138,,WILLIAMSPORT,OH,43164,6275 STREET RT 138 WILLIAMSPORT OH 43164,"(39.319323, -83.42264)"
825 E Cowboy Way,P.O. Box 2822,LaBelle,FL,33975,825 E Cowboy Way LaBelle FL 33975,"(26.7465063, -81.42442150000001)"
1243 Christ Road,,Basile,LA,70515,1243 Christ Road Basile LA 70515,"(30.5208489, -92.5926985)"
3117 West City Limits Road,P.O. Box 9104,Yankton,SD,57078,3117 West City Limits Road Yankton SD 57078,"(42.9157072, -97.4175006)"
4584 County Rd 386 N,,Wewahitchka,FL,32465,4584 County Rd 386 N Wewahitchka FL 32465,"(30.0602694, -85.2701752)"
856 Pine Court,,Immokalee,FL,34142,856 Pine Court Immokalee FL 34142,"(26.430051, -81.4360104)"
2188 Nail Road,,Baxley,GA,31513,2188 Nail Road Baxley GA 31513,"(31.7378234, -82.453019)"
773 Pine Level Church Rd,,Alma,GA,31510,773 Pine Level Church Rd Alma GA 31510,"(31.6278512, -82.5140808)"
P.O. Box 310,2765 Fairgrounds Rd.,American Falls,ID,83211,P.O. Box 310 American Falls ID 83211,"(42.7860226, -112.8544377)"
P O Box 61,300 I-40 East,Wildorado,TX,79098,P O Box 61 Wildorado TX 79098,"(35.2094976, -102.2004766)"
1067 N Omaha Rd,,Scott City,KS,67871,1067 N Omaha Rd Scott City KS 67871,"(38.498105, -100.853053)"
2901 Hoffpauir Road,,RAYNE,LA,70578,2901 Hoffpauir Road RAYNE LA 70578,"(30.142536, -92.223961)"
15705 State Road 23,PO Box 269 Cimarron KS 67835,Cimarron,KS,67835,15705 State Road 23 Cimarron KS 67835,"(37.8066882, -100.3482003)"
 3654 Knights Church Rd,,Decherd,TN,37324, 3654 Knights Church Rd Decherd TN 37324,"(35.2818644, -86.0548324)"
1105 Central Avenue,,Kearney,NE,68847,1105 Central Avenue Kearney NE 68847,"(40.6854855, -99.0815593)"
28636 283rd Ave.,,Mission,SD,57555,28636 283rd Ave. Mission SD 57555,"(43.2540314, -100.4690311)"
5127 Madison Creek Dr.,"40643 Holloway Rd  Lyman, NE 59352",Ft. Collins,CO,80528,5127 Madison Creek Dr. Ft. Collins CO 80528,"(40.51585499999999, -105.0348974)"
